F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX,PF,QF,PT,QT,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX
10025,10929,0.012125,0.068124,0.01755,219.05,0,0,0,0,1,0,0,-40.02,-5.34,40.2,4.49,0,0,0,0
10051,10026,0.004528,0.02582,0.01123,220.77,0,0,0,0,1,0,0,18.66,3.91,-18.65,-4.97,0,0,0,0
10027,10028,0.000249,0.001026,0,0,0,0,0,0,1,0,0,32.23,12.73,-32.23,-12.72,0,0,0,0
10027,10029,0.006288,0.036606,0.01108,209.69,0,0,0,0,1,0,0,-31.22,-8.88,31.28,8.14,0,0,0,0
10054,10027,0.005908,0.03552,0.03718,199,0,0,0,0,1,0,0,1.01,0.11,-1.01,-3.85,0,0,0,0
10030,10031,0.000244,0.001051,0,0,0,0,0,0,1,0,0,39.81,7.2,-39.8,-7.18,0,0,0,0
10030,10988,0.011232,0.05541,0.03885,237.68,0,0,0,0,1,0,0,-69.85,8.47,70.37,-10.09,0,0,0,0
10032,10040,0.005932,0.033216,0.0405,226.1,0,0,0,0,1,0,0,52.64,-9.51,-52.48,6.09,0,0,0,0
10036,10033,0.001438,0.006275,0.00353,216.72,0,0,0,0,1,0,0,43.22,-18.43,-43.19,18.2,0,0,0,0
10033,10045,0.010951,0.047533,0.03427,216.4,0,0,0,0,1,0,0,-17.52,-10.4,17.56,7.01,0,0,0,0
10033,11071,0.001422,0.007398,0.00283,237.01,0,0,0,0,1,0,0,-71.98,5.9,72.05,-5.82,0,0,0,0
10033,13147,0.007909,0.052892,0.05837,246.79,0,0,0,0,1,0,0,73.64,-20.66,-73.2,17.53,0,0,0,0
10034,10035,0.000201,0.001022,0,0,0,0,0,0,1,0,0,59.06,42.7,-59.05,-42.65,0,0,0,0
10034,10036,0.000248,0.001185,0,0,0,0,0,0,1,0,0,-59.06,-42.7,59.07,42.76,0,0,0,0
11071,10036,0.0005,0.002496,0.00233,254.33,0,0,0,0,1,0,0,102.34,24.35,-102.29,-24.33,0,0,0,0
10037,10041,0.003468,0.018993,0.08954,230.13,0,0,0,0,1,0,0,-69.74,16.49,69.91,-25.1,0,0,0,0
10037,10053,0.006057,0.029228,0.21482,255.03,0,0,0,0,1,0,0,101.67,-6.76,-101.08,-13.22,0,0,0,0
10929,10037,0.004393,0.017586,0.00677,255.57,0,0,0,0,1,0,0,90.57,21.74,-90.21,-21.06,0,0,0,0
10038,10039,0.000276,0.001086,0,0,0,0,0,0,1,0,0,-36.59,-13.17,36.59,13.18,0,0,0,0
10040,10039,0.002872,0.01782,0.01246,243.11,0,0,0,0,1,0,0,-76.72,-20.63,76.89,20.36,0,0,0,0
10040,10061,0.004531,0.021432,0.02901,245.08,0,0,0,0,1,0,0,85.63,0.85,-85.32,-2.44,0,0,0,0
10045,10041,0.005713,0.03731,0.01199,236.56,0,0,0,0,1,0,0,-42.91,-19.92,43.03,19.45,0,0,0,0
10041,10757,0.003754,0.019648,0.08439,270.97,0,0,0,0,1,0,0,-133.02,-4.28,133.64,-1.5,0,0,0,0
10112,10042,0.006696,0.033297,0.02397,241.87,0,0,0,0,1,0,0,-70.85,-1.97,71.17,1.01,0,0,0,0
10042,10858,0.001268,0.003825,0.00121,265.85,0,0,0,0,1,0,0,-130.42,-12.37,130.62,12.86,0,0,0,0
10043,10044,0.000235,0.001166,0,0,0,0,0,0,1,0,0,37.55,1.76,-37.54,-1.74,0,0,0,0
10065,10043,0.004192,0.027014,0.0131,234.78,0,0,0,0,1,0,0,-59.72,1.44,59.86,-1.87,0,0,0,0
10043,10731,0.008235,0.049341,0.02223,254.45,0,0,0,0,1,0,0,-97.41,0.12,98.16,2.03,0,0,0,0
10046,10047,0.000221,0.001009,0,0,0,0,0,0,1,0,0,45.76,5.96,-45.76,-5.94,0,0,0,0
10049,10046,0.001366,0.006447,0.0035,199.81,0,0,0,0,1,0,0,15.6,5.4,-15.59,-5.75,0,0,0,0
10046,10053,0.004165,0.027215,0.0075,230.09,0,0,0,0,1,0,0,-57.27,-8.57,57.4,8.65,0,0,0,0
10046,10060,0.003004,0.017196,0.00465,209.43,0,0,0,0,1,0,0,27.1,8.35,-27.08,-8.7,0,0,0,0
10048,10049,0.000233,0.001054,0,0,0,0,0,0,1,0,0,-45.76,-10.24,45.76,10.27,0,0,0,0
10048,10050,0.000219,0.001026,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10049,10858,0.008744,0.048084,0.03521,236.41,0,0,0,0,1,0,0,-61.36,-15.66,61.69,13.75,0,0,0,0
10051,10052,0.000267,0.001152,0,0,0,0,0,0,1,0,0,17.51,1.94,-17.51,-1.94,0,0,0,0
10051,10106,0.011558,0.052554,0.06616,232.86,0,0,0,0,1,0,0,-36.17,-5.85,36.32,-0.31,0,0,0,0
10054,10087,0.009807,0.051866,0.06321,227.67,0,0,0,0,1,0,0,-44.33,-16.23,44.54,10.88,0,0,0,0
10055,10056,0.000299,0.001016,0,0,0,0,0,0,1,0,0,-17.57,-5.16,17.57,5.16,0,0,0,0
10071,10056,0.001756,0.013175,0.01312,213.54,0,0,0,0,1,0,0,-38.25,-3.6,38.28,2.4,0,0,0,0
10056,10111,0.005763,0.031111,0.07264,227.01,0,0,0,0,1,0,0,-55.84,-7.56,56.02,0.79,0,0,0,0
10058,10057,0.000543,0.025187,0,466.21,0,0,1,0,1,0,0,-173.6,-27.77,173.76,35.22,0,0,0,0
10057,10059,0.000237,0.001074,0,0,0,0,0,0,1,0,0,-173.76,-35.22,173.83,35.53,0,0,0,0
10060,10058,0.001632,0.010946,0.00846,201.84,0,0,0,0,1,0,0,-16.86,-18.92,16.87,18.1,0,0,0,0
10058,10072,0.001803,0.013354,0.00342,235.48,0,0,0,0,1,0,0,59.68,9.01,-59.61,-8.9,0,0,0,0
10058,10099,0.003268,0.021191,0.03671,230.02,0,0,0,0,1,0,0,53.13,-7.48,-53.04,4.23,0,0,0,0
10059,10462,0.001137,0.014419,0.70236,1228.28,0,0,0,0,1,0,0,251.78,10.53,-251.08,-75.75,0,0,0,0
10857,10059,0.000837,0.00946,0.19427,1358.91,0,0,0,0,1,0,0,427.04,41.44,-425.61,-46.06,0,0,0,0
10061,10133,0.002583,0.013741,0.01254,211.25,0,0,0,0,1,0,0,34.24,6.89,-34.21,-8.05,0,0,0,0
10062,10063,0.000252,0.001023,0,0,0,0,0,0,1,0,0,-36.25,-9.32,36.25,9.33,0,0,0,0
10062,10064,0.000263,0.001129,0,0,0,0,0,0,1,0,0,36.25,9.32,-36.24,-9.3,0,0,0,0
10065,10063,0.003065,0.018143,0.00658,196.02,0,0,0,0,1,0,0,13.46,-8.25,-13.45,7.61,0,0,0,0
10063,10149,0.003675,0.024161,0.01534,206.38,0,0,0,0,1,0,0,-22.8,-16.94,22.82,15.52,0,0,0,0
10065,10068,0.000841,0.025733,0,108.63,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10066,10068,0.008435,0.258035,0,54.31,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10067,10068,0.008435,0.258035,0,54.31,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10069,10074,0.005928,0.033632,0.01174,203.82,0,0,0,0,1,0,0,17.39,-8.14,-17.37,7.05,0,0,0,0
10781,10069,0.002921,0.013747,0.0102,244.58,0,0,0,0,1,0,0,76.41,6.07,-76.24,-6.34,0,0,0,0
10070,10090,0.002734,0.018279,0.01645,221.92,0,0,0,0,1,0,0,41.93,-5.82,-41.88,4.41,0,0,0,0
10095,10070,0.003473,0.022438,0.00952,229.14,0,0,0,0,1,0,0,53.1,-6.06,-53,5.67,0,0,0,0
10112,10071,0.003379,0.016953,0.02423,236.16,0,0,0,0,1,0,0,59.65,-0.73,-59.54,-1.26,0,0,0,0
10071,10153,0.002966,0.015795,0.10033,232.27,0,0,0,0,1,0,0,59.42,-5.48,-59.32,-4.53,0,0,0,0
10072,10073,0.000299,0.001136,0,0,0,0,0,0,1,0,0,38.38,20.2,-38.37,-20.18,0,0,0,0
10072,10155,0.005629,0.029688,0.00699,205.7,0,0,0,0,1,0,0,21.24,-11.3,-21.21,10.73,0,0,0,0
10074,10075,0.000228,0.001097,0,0,0,0,0,0,1,0,0,14.72,4.65,-14.72,-4.64,0,0,0,0
13154,10074,0.007954,0.050685,0.01611,181.22,0,0,0,0,1,0,0,-2.64,10.1,2.65,-11.7,0,0,0,0
10076,10133,0.001323,0.006403,0.02926,218.87,0,0,0,0,1,0,0,40.38,-5.92,-40.36,2.95,0,0,0,0
10077,10092,0.002248,0.011411,0.00481,205.12,0,0,0,0,1,0,0,18.64,6.39,-18.63,-6.86,0,0,0,0
10077,10097,0.007262,0.029947,0.08604,216.78,0,0,0,0,1,0,0,-36.75,3.44,36.85,-12.11,0,0,0,0
10077,10137,0.005965,0.022809,0.03097,236.35,0,0,0,0,1,0,0,-59.08,16.29,59.29,-18.73,0,0,0,0
10077,13292,0.002442,0.014841,0.00883,229.46,0,0,0,0,1,0,0,48.73,-34.05,-48.65,33.61,0,0,0,0
10078,10081,0.001569,0.086936,0,616.81,0,0,1,0,1,0,0,198.84,31.74,-198.25,1.33,0,0,0,0
10078,10838,0.000957,0.012068,0.68187,1170.64,0,0,0,0,1,0,0,-198.84,-31.74,199.2,-36.56,0,0,0,0
10079,10081,-0.000917,-0.05082,0,466.81,0,0,1,0,1,0,0,-198.6,-18,198.25,-1.33,0,0,0,0
10079,10124,0.003042,0.017445,0.006,219.64,0,0,0,0,1,0,0,62.04,9.81,-61.93,-9.77,0,0,0,0
10140,10079,0.003,0.01806,0.03375,246.83,0,0,0,0,1,0,0,-80.51,1.91,80.69,-4.31,0,0,0,0
10080,10081,0.004152,0.230086,0,150,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10082,10083,0.00028,0.001062,0,0,0,0,0,0,1,0,0,22.33,8.77,-22.32,-8.77,0,0,0,0
10113,10082,0.002023,0.016404,0.00465,182.93,0,0,0,0,1,0,0,12.14,34.41,-12.12,-34.69,0,0,0,0
10082,10121,0.00212,0.010107,0.00756,198.55,0,0,0,0,1,0,0,-10.21,25.91,10.23,-26.62,0,0,0,0
10084,10085,0.000226,0.001179,0,0,0,0,0,0,1,0,0,40.86,5.89,-40.86,-5.87,0,0,0,0
10084,10086,0.000207,0.001005,0,0,0,0,0,0,1,0,0,-40.86,-5.89,40.86,5.91,0,0,0,0
10086,10136,0.002643,0.017986,0.0103,216.7,0,0,0,0,1,0,0,-24.59,-5.12,24.6,4.13,0,0,0,0
10086,10216,0.010323,0.054805,0.04341,176.23,0,0,0,0,1,0,0,-16.28,-0.79,16.3,-3.68,0,0,0,0
10087,10121,0.007479,0.034982,0.01936,206.89,0,0,0,0,1,0,0,-43.71,3.34,43.85,-4.68,0,0,0,0
10203,10087,0.004732,0.032055,0.02713,214.83,0,0,0,0,1,0,0,11.73,20.16,-11.7,-22.8,0,0,0,0
10088,10089,0.000254,0.001123,0,0,0,0,0,0,1,0,0,33.23,4.2,-33.23,-4.19,0,0,0,0
10088,10128,0.001619,0.009116,0.0026,258.98,0,0,0,0,1,0,0,-148.2,-35.57,148.55,37.29,0,0,0,0
10088,10149,0.002097,0.01208,0.00604,223.8,0,0,0,0,1,0,0,36.4,26.95,-36.36,-27.35,0,0,0,0
10088,10227,0.005323,0.028924,0.0371,212.33,0,0,0,0,1,0,0,78.56,4.41,-78.25,-6.63,0,0,0,0
10090,10138,0.00331,0.017372,0.00479,189.9,0,0,0,0,1,0,0,2.45,-4.39,-2.45,3.89,0,0,0,0
10090,10149,0.007326,0.033046,0.01205,172.91,0,0,0,0,1,0,0,6.2,-6.77,-6.19,5.52,0,0,0,0
10137,10091,0.001153,0.00794,0.00434,248.05,0,0,0,0,1,0,0,-79.37,13.58,79.44,-13.55,0,0,0,0
10091,10176,0.00345,0.019599,0.02875,214.01,0,0,0,0,1,0,0,-29.55,9.66,29.58,-12.49,0,0,0,0
10091,10954,0.003029,0.013701,0.0419,249.45,0,0,0,0,1,0,0,-87.56,-0.82,87.78,-2.61,0,0,0,0
10092,10148,0.002731,0.0163,0.00861,229.01,0,0,0,0,1,0,0,45.69,-13.45,-45.63,12.9,0,0,0,0
10092,10173,0.005409,0.027737,0.02911,235.88,0,0,0,0,1,0,0,-58.51,18.61,58.71,-20.65,0,0,0,0
10093,13144,0.009419,0.072795,0.02979,218.69,0,0,0,0,1,0,0,36.71,11.1,-36.57,-13.14,0,0,0,0
10093,13147,0.003349,0.016415,0.06083,258.14,0,0,0,0,1,0,0,-94.14,36.26,94.47,-40.99,0,0,0,0
10093,13182,0.004096,0.021643,0.00554,234.34,0,0,0,0,1,0,0,57.08,-18.41,-56.94,18.57,0,0,0,0
10093,13204,0.00351,0.017155,0.01854,217.58,0,0,0,0,1,0,0,36.6,-5.71,-36.55,3.99,0,0,0,0
13292,10093,0.002609,0.012396,0.00539,233.12,0,0,0,0,1,0,0,67.86,34.51,-67.71,-34.4,0,0,0,0
10094,10095,0.000229,0.001065,0,0,0,0,0,0,1,0,0,-18.02,-4.43,18.02,4.44,0,0,0,0
10094,10096,0.000203,0.00105,0,0,0,0,0,0,1,0,0,18.02,4.43,-18.02,-4.43,0,0,0,0
10133,10095,0.002794,0.018339,0.0116,168.25,0,0,0,0,1,0,0,3.53,-3.18,-3.53,1.97,0,0,0,0
10095,11010,0.009226,0.049923,0.08677,241.84,0,0,0,0,1,0,0,-67.59,-0.35,67.99,-6.62,0,0,0,0
10097,10954,0.005361,0.031109,0.01035,240.32,0,0,0,0,1,0,0,-67.86,6.83,68.1,-6.55,0,0,0,0
10098,10099,0.000291,0.001137,0,0,0,0,0,0,1,0,0,-19.84,-5.6,19.84,5.61,0,0,0,0
10155,10099,0.001709,0.009509,0.01513,214.82,0,0,0,0,1,0,0,-33.17,8.36,33.19,-9.83,0,0,0,0
10100,10101,0.000217,0.001047,0,0,0,0,0,0,1,0,0,-33.88,-8.29,33.88,8.3,0,0,0,0
10100,10102,0.000274,0.001162,0,0,0,0,0,0,1,0,0,33.88,8.29,-33.88,-8.27,0,0,0,0
13260,10101,0.001371,0.006628,0.0094,194.26,0,0,0,0,1,0,0,-19.88,9.3,19.89,-10.28,0,0,0,0
13301,10101,0.001586,0.00633,0.00271,212.88,0,0,0,0,1,0,0,33.19,4.7,-33.17,-4.92,0,0,0,0
13314,10101,0.000606,0.003748,0.00188,194.85,0,0,0,0,1,0,0,20.6,-7.08,-20.6,6.9,0,0,0,0
10103,10104,0.000294,0.00104,0,0,0,0,0,0,1,0,0,57.75,17.14,-57.74,-17.1,0,0,0,0
10103,10105,0.000252,0.00112,0,0,0,0,0,0,1,0,0,-57.75,-17.14,57.76,17.18,0,0,0,0
10131,10105,0.000329,0.00205,0.00161,209.77,0,0,0,0,1,0,0,27.78,-3.32,-27.78,3.17,0,0,0,0
10148,10105,0.001119,0.007126,0.00294,143.75,0,0,0,0,1,0,0,-6.62,-37.62,6.64,37.41,0,0,0,0
13285,10105,0.00187,0.009753,0.01147,211.98,0,0,0,0,1,0,0,36.69,56.96,-36.61,-57.75,0,0,0,0
10106,10215,0.006435,0.048933,0.01513,212.58,0,0,0,0,1,0,0,-87.66,-13.33,88.15,15.44,0,0,0,0
10107,10108,0.000211,0.001165,0,0,0,0,0,0,1,0,0,-26.95,-1.82,26.95,1.83,0,0,0,0
10107,10109,0.000292,0.001026,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10108,10186,0.004715,0.024296,0.01313,249.27,0,0,0,0,1,0,0,-159.52,12.42,160.67,-7.88,0,0,0,0
10203,10108,0.004364,0.027955,0.02179,235.31,0,0,0,0,1,0,0,-131.83,16.69,132.57,-14.25,0,0,0,0
10110,10111,0.000221,0.001092,0,0,0,0,0,0,1,0,0,-12.48,-4.31,12.48,4.31,0,0,0,0
10111,10213,0.007996,0.059293,0.03775,236.86,0,0,0,0,1,0,0,-68.5,-5.11,68.85,3.68,0,0,0,0
10113,10114,0.000224,0.001119,0,0,0,0,0,0,1,0,0,31.06,13.54,-31.06,-13.53,0,0,0,0
10113,10128,0.003764,0.017243,0.0787,216.3,0,0,0,0,1,0,0,-43.2,-47.95,43.34,40.22,0,0,0,0
10128,10115,0.003638,0.016403,0.00482,234.53,0,0,0,0,1,0,0,43.48,51.79,-43.32,-51.6,0,0,0,0
10140,10115,0.001712,0.01123,0.00312,212.47,0,0,0,0,1,0,0,-12.24,-40,12.26,39.86,0,0,0,0
10118,10116,0.003108,0.019022,0.00851,188.83,0,0,0,0,1,0,0,-2.66,-0.66,2.66,-0.25,0,0,0,0
10116,10397,0.007777,0.036727,0.07404,221.58,0,0,0,0,1,0,0,45.24,5.81,-45.08,-12.98,0,0,0,0
10116,10795,0.009396,0.055383,0.02548,245.76,0,0,0,0,1,0,0,-95.84,-10.96,96.65,12.97,0,0,0,0
10117,10120,0.000915,0.037256,0,577.61,0,0,1,0,1,0,0,212.56,5.05,-212.17,10.6,0,0,0,0
10275,10117,0.001233,0.013303,0.39851,1345.52,0,0,0,0,1,0,0,-492.01,-106.54,494.98,96.48,0,0,0,0
10799,10117,0.000771,0.009847,0.22998,1180.81,0,0,0,0,1,0,0,253.93,31.29,-253.45,-50.15,0,0,0,0
10893,10117,0.000749,0.008125,0.20696,1332.36,0,0,0,0,1,0,0,455.53,44.67,-454.09,-51.38,0,0,0,0
10118,10120,-7.8e-05,-0.003161,0,452.61,0,0,1,0,1,0,0,-212.21,9.28,212.17,-10.6,0,0,0,0
10118,10186,0.003228,0.01551,0.00786,266.6,0,0,0,0,1,0,0,199.46,4.26,-198.26,0.65,0,0,0,0
10118,10244,0.003101,0.020077,0.05484,246.49,0,0,0,0,1,0,0,-96.65,-57.08,97,53.41,0,0,0,0
10118,10300,0.004389,0.02992,0.0165,238.95,0,0,0,0,1,0,0,66.67,22.57,-66.46,-22.94,0,0,0,0
10119,10120,0.00512,0.20846,0,125,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10121,10122,0.000227,0.001132,0,0,0,0,0,0,1,0,0,35.44,19.2,-35.43,-19.18,0,0,0,0
10121,10124,0.002546,0.014044,0.00758,179.57,0,0,0,0,1,0,0,-26.47,-3.37,26.49,2.68,0,0,0,0
10121,10325,0.004612,0.028803,0.06098,208.42,0,0,0,0,1,0,0,-63.04,15.48,63.23,-20.58,0,0,0,0
10123,10124,0.000205,0.001152,0,0,0,0,0,0,1,0,0,-35.44,-7.07,35.44,7.09,0,0,0,0
10123,10125,0.000224,0.001139,0,0,0,0,0,0,1,0,0,35.44,7.07,-35.43,-7.06,0,0,0,0
10123,10126,0.000252,0.001083,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10128,10127,0.000312,0.020028,0,562.17,0,0,1.05625,0,1,0,0,-341.34,-176.87,341.82,207.7,0,0,0,0
10127,10730,0.001135,0.014705,0.31386,1116.83,0,0,0,0,1,0,0,-48.59,-94.9,48.69,63.11,0,0,0,0
10838,10127,0.000935,0.011435,0.21946,1195.62,0,0,0,0,1,0,0,294.09,100.26,-293.23,-112.8,0,0,0,0
10128,10138,0.004035,0.026283,0.01205,239.6,0,0,0,0,1,0,0,61.08,31.3,-60.9,-31.41,0,0,0,0
10129,13285,0.00062,0.00434,0.00183,221.18,0,0,0,0,1,0,0,-39.83,1.95,39.84,-2.08,0,0,0,0
10129,13310,0.001977,0.012466,0.00452,239.02,0,0,0,0,1,0,0,-70.79,-26.59,70.9,26.77,0,0,0,0
13314,10129,0.00057,0.004133,0.00873,231.06,0,0,0,0,1,0,0,-60.52,-10.69,60.54,9.9,0,0,0,0
10130,10147,0.000599,0.003657,0.01431,223.05,0,0,0,0,1,0,0,-39.04,37.97,39.06,-39.36,0,0,0,0
13312,10130,0.001639,0.011365,0.0026,182.98,0,0,0,0,1,0,0,11.09,52.39,-11.05,-52.35,0,0,0,0
10131,10132,0.000247,0.001155,0,0,0,0,0,0,1,0,0,41.73,12.4,-41.72,-12.38,0,0,0,0
10178,10131,0.002141,0.01383,0.00585,203.57,0,0,0,0,1,0,0,15.99,-43.47,-15.95,43.13,0,0,0,0
10131,13300,0.000979,0.006112,0.00719,225.61,0,0,0,0,1,0,0,-53.56,-52.21,53.61,51.76,0,0,0,0
10133,10134,0.00028,0.00103,0,0,0,0,0,0,1,0,0,71.04,8.28,-71.03,-8.23,0,0,0,0
10135,10136,0.000249,0.001148,0,0,0,0,0,0,1,0,0,-61.01,-13.93,61.02,13.97,0,0,0,0
10136,10210,0.004395,0.022764,0.03393,202.01,0,0,0,0,1,0,0,23.5,3.9,-23.48,-7.38,0,0,0,0
10136,11028,0.003014,0.017477,0.01016,264.49,0,0,0,0,1,0,0,-109.13,-22,109.48,22.95,0,0,0,0
10138,10199,0.005131,0.026697,0.01759,220.87,0,0,0,0,1,0,0,25.3,20.09,-25.25,-21.65,0,0,0,0
10139,10154,0.00043,0.00294,0.00101,278.91,0,0,0,0,1,0,0,99.43,39.16,-99.39,-38.97,0,0,0,0
10139,10154,0.00043,0.00294,0.00101,278.91,0,0,0,0,1,0,0,99.43,39.16,-99.39,-38.97,0,0,0,0
10197,10139,0.001172,0.006691,0.00432,280.99,0,0,0,0,1,0,0,117.1,43.99,-116.93,-43.55,0,0,0,0
10197,10139,0.001172,0.006691,0.00432,280.99,0,0,0,0,1,0,0,117.1,43.99,-116.93,-43.55,0,0,0,0
10140,10141,0.000258,0.001145,0,0,0,0,0,0,1,0,0,41.11,16.69,-41.11,-16.66,0,0,0,0
10140,10143,0.002479,0.013455,0.00531,232.49,0,0,0,0,1,0,0,35.56,15.6,-35.52,-15.96,0,0,0,0
10142,10143,0.000256,0.001136,0,0,0,0,0,0,1,0,0,-41.11,-1.31,41.11,1.33,0,0,0,0
10142,10144,0.00026,0.001087,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10160,10143,0.004505,0.023167,0.01358,198.54,0,0,0,0,1,0,0,5.61,-15.98,-5.59,14.63,0,0,0,0
10145,10190,0.000687,0.005321,0.00936,242.1,0,0,0,0,1,0,0,-70.06,-6.41,70.09,5.69,0,0,0,0
10145,10193,0.001727,0.009053,0.00257,214.7,0,0,0,0,1,0,0,32.08,-2.83,-32.07,2.65,0,0,0,0
10146,10147,0.00024,0.001138,0,0,0,0,0,0,1,0,0,-37.97,-9.3,37.98,9.32,0,0,0,0
